"","Crop","sci_name"
"1","Barley","Hordeum depressum"
"2","Barley","Hordeum jubatum"
"3","Barley","Hordeum pusillum"
"4","Flax","Linum medium"
"5","Flax","Linum perenne"
"6","Flax","Linum rigidum"
"7","Flax","Linum sulcatum"
"8","Flax","Linum virginianum"
"9","Sunflower","Helianthus decapetalus"
"10","Sunflower","Helianthus divaricatus"
"11","Sunflower","Helianthus giganteus"
"12","Sunflower","Helianthus hirsutus"
"13","Sunflower","Helianthus laetiflorus"
"14","Sunflower","Helianthus maximiliani"
"15","Sunflower","Helianthus nuttallii"
"16","Sunflower","Helianthus petiolaris"
"17","Sunflower","Helianthus strumosus"
"18","Sunflower","Helianthus tuberosus"
"19","Apple","Malus coronaria"
"20","Apple","Malus fusca"
"21","Blueberry","Vaccinium alaskaense"
"22","Blueberry","Vaccinium angustifolium"
"23","Blueberry","Vaccinium atrococcum"
"24","Blueberry","Vaccinium caespitosum"
"25","Blueberry","Vaccinium corymbsum"
"26","Blueberry","Vaccinium deliciosum"
"27","Blueberry","Vaccinium membranaceum"
"28","Blueberry","Vaccinium myrtilloides"
"29","Blueberry","Vaccinium myrtillus"
"30","Blueberry","Vaccinium nubigeum"
"31","Blueberry","Vaccinium ovalifolium"
"32","Blueberry","Vaccinium ovatum"
"33","Blueberry","Vaccinium parvifolium"
"34","Blueberry","Vaccinium scoparium"
"35","Blueberry","Vaccinium stamineum"
"36","Blueberry","Vaccinium uliginosum"
"37","Blueberry","Vaccinium vacillans"
"38","Buffaloberry","Sherpherdia argetea"
"39","Buffaloberry","Sherpherdia canadensis"
"40","Cherry","Prunus besseyi"
"41","Cherry","Prunus emarginata"
"42","Cherry","Prunus pensylvanica"
"43","Cherry","Prunus pumila"
"44","Cherry","Prunus serotina"
"45","Cherry","Prunus virginiana"
"46","Cranberry","Oxycoccus macrocarpus"
"47","Cranberry","Oxycoccus microcarpus"
"48","Cranberry","Oxycoccus ovalifolius"
"49","Cranberry","Oxycoccus quadripetalus"
"50","Currant","Ribes americanum"
"51","Currant","Ribes aureum"
"52","Currant","Ribes bracteosum"
"53","Currant","Ribes cereum"
"54","Currant","Ribes cynosbati"
"55","Currant","Ribes divaricatum"
"56","Currant","Ribes glandulosum"
"57","Currant","Ribes howellii"
"58","Currant","Ribes hudsonianum"
"59","Currant","Ribes irriguum"
"60","Currant","Ribes lacustre"
"61","Currant","Ribes laxiflorum"
"62","Currant","Ribes lobbii"
"63","Currant","Ribes sanguineum"
"64","Currant","Ribes setosum"
"65","Currant","Ribes triste"
"66","Currant","Ribes viscosissiumum"
"67","Currant","Ribes watsonianum"
"68","Elderberry","Sambucus canadensis"
"69","Elderberry","Sambucus cerulea"
"70","Elderberry","Sambucus racemosa"
"71","Grape","Vitis aestivalis"
"72","Grape","Vitis riparia"
"73","Highbush cranberry","Viburnum acerifolium"
"74","Highbush cranberry","Viburnum alnifolium"
"75","Highbush cranberry","Viburnum cassinoides"
"76","Highbush cranberry","Viburnum dentatum"
"77","Highbush cranberry","Viburnum edule"
"78","Highbush cranberry","Viburnum lantana"
"79","Highbush cranberry","Viburnum lentago"
"80","Highbush cranberry","Viburnum rafinesquianum"
"81","Highbush cranberry","Viburnum trilobum"
"82","Lingonberry","Vaccinium vitis-idaea"
"83","Pawpaw","Asimina triloba"
"84","Plum","Prunus americana"
"85","Plum","Prunus nigra"
"86","Raspberry","Rubus acualis"
"87","Raspberry","Rubus allegheniensis"
"88","Raspberry","Rubus articus"
"89","Raspberry","Rubus canadensis"
"90","Raspberry","Rubus chamaemorus"
"91","Raspberry","Rubus enslenii"
"92","Raspberry","Rubus glagellaris"
"93","Raspberry","Rubus hispidus"
"94","Raspberry","Rubus idaeus"
"95","Raspberry","Rubus laciniatus"
"96","Raspberry","Rubus lasiococcus"
"97","Raspberry","Rubus leucodermis"
"98","Raspberry","Rubus nivalis"
"99","Raspberry","Rubus occidentalis"
"100","Raspberry","Rubus odoratus"
"101","Raspberry","Rubus parviflorus"
"102","Raspberry","Rubus paracaulis"
"103","Raspberry","Rubus pedatus"
"104","Raspberry","Rubus pensilvanicus"
"105","Raspberry","Rubus procerus"
"106","Raspberry","Rubus pubescens"
"107","Raspberry","Rubus recurvicaulis"
"108","Raspberry","Rubus spectabilis"
"109","Raspberry","Rubus stellatus"
"110","Raspberry","Rubus ursinus"
"111","Raspberry","Rubus vermontanus"
"112","Saskatoon","Amelanchier alnifolia"
"113","Saskatoon","Amelanchier arborea"
"114","Saskatoon","Amelanchier bartramiana"
"115","Saskatoon","Amelanchier canadensis"
"116","Saskatoon","Amelanchier fernaldii"
"117","Saskatoon","Amelanchier gaspensis"
"118","Saskatoon","Amelanchier humilis"
"119","Saskatoon","Amelanchier huronensis"
"120","Saskatoon","Amelanchier intermedia"
"121","Saskatoon","Amelanchier laevis"
"122","Saskatoon","Amelanchier lucida"
"123","Saskatoon","Amelanchier mucronata"
"124","Saskatoon","Amelanchier sanguinea"
"125","Saskatoon","Amelanchier stolonifera"
"126","Saskatoon","Amelanchier wiegandii"
"127","Strawberry","Fragaria chiloensis"
"128","Strawberry","Fragaria vesca"
"129","Strawberry","Fragaria virginiana"
"130","Chestnut","Castanea dentata"
"131","Hazelnut","Corylus americana"
"132","Hazelnut","Corylus cornuta"
"133","Pecan/hickory","Carya cordiformis"
"134","Pecan/hickory","Carya glabra"
"135","Pecan/hickory","Carya laciniosa"
"136","Pecan/hickory","Carya ovalis"
"137","Pecan/hickory","Carya ovata"
"138","Pecan/hickory","Carya tomentosa"
"139","Walnut","Juglans cinerea"
"140","Walnut","Juglans nigra"
"141","Bengrass","Agrostis borealis"
"142","Bengrass","Agrostis diegoensis"
"143","Bengrass","Agrostis exarata"
"144","Bengrass","Agrostis hyemalis"
"145","Bengrass","Agrostis perennans"
"146","Bluegrass","Poa abbreviata"
"147","Bluegrass","Poa alpina"
"148","Bluegrass","Poa alsodes"
"149","Bluegrass","Poa ampla"
