CROP,CROP.WILD.RELATIVE,GENEPOOL,GRAFTSTOCK,TRAIT,ONTOLOGY,BREEDING.TYPE
Achira,Canna indica,,,,NA,
Aji,Capsicum annuum var. glabriusculum,Secondary,,,NA,
"Amaranth, Purple",Amaranthus hybridus,Tertiary,,,NA,
"Amaranth, Purple",Amaranthus retroflexus ,Secondary,,,NA,
"Amaranth, Purple",Amaranthus palmeri,Tertiary,,,NA,
"Amaranth, Purple",Amaranthus powellii ,Secondary,,Agronomic,NA,Fruit/Seed Retention (AG)
"Amaranth, Purple",Amaranthus wrightii ,Secondary,,,NA,
Apple,Malus angustifolia ,Tertiary,,,NA,
Apple,Malus coronaria,Tertiary,,,NA,
Apple,Malus fusca ,,Graftstock,Abiotic,NA,Waterlogging Tolerance (AB)
Apple,Malus ioensis ,Tertiary,,,NA,
Apricot,Prunus americana ,Progenitor,Graftstock,,NA,
Apricot,Prunus andersonii ,Tertiary,,,NA,
Apricot,Prunus angustifolia ,Tertiary,,,NA,
Apricot,Prunus fremontii,Tertiary,,,NA,
Apricot,Prunus hortulana ,Tertiary,,,NA,
Apricot,Prunus maritima ,Tertiary,,,NA,
Apricot,Prunus mexicana ,Tertiary,,,NA,
Apricot,Prunus nigra,Tertiary,,,NA,
Apricot,Prunus pumila,Tertiary,,,NA,
Apricot,Prunus subcordata,Tertiary,,,NA,
Apricot,Prunus umbellata,Tertiary,,,NA,
Apricot,Prunus rivularis ,Progenitor,Graftstock,,NA,
Apricot,Prunus geniculata ,Tertiary,,,NA,
Apricot,Prunus gracilis ,Tertiary,,,NA,
Apricot,Prunus murrayana ,Tertiary,,,NA,
Apricot,Prunus pumila var. besseyi ,Progenitor,Graftstock,,NA,
Avocado,Persea borbonia ,,Graftstock,Biotic,NA,Disease Resistance (B)
Bambara Groundnut,Vigna luteola ,Tertiary,,,NA,
Bambara Groundnut,Vigna marina ,Tertiary,,Abiotic,NA,Drought Resistance (AB)
Barley,Hordeum brachyantherum,Tertiary,,,NA,
Barley,Hordeum depressum ,Tertiary,,,NA,
Barley,Hordeum jubatum ,Tertiary,,Abiotic,NA,Salt Tolerance (AB)
Barley,Hordeum pusillum ,Tertiary,,,NA,
Barley,Leymus mollis ,Tertiary,,Biotic,NA,Disease Resistance (B)
Barley,Hordeum arizonicum,Tertiary,,,NA,
Barley,Hordeum intercedens ,Tertiary,,,NA,
Barley,Hordeum brachyantherum subsp. brachyantherum,Tertiary,,,NA,
Barley,Hordeum brachyantherum subsp. californicum ,Tertiary,,,NA,
Barley,Hordeum jubatum subsp. jubatum,Tertiary,,,NA,
Barley,Hordeum jubatum subsp. intermedium ,Tertiary,,,NA,
"Bean, Common",Phaseolus acutifolius ,Tertiary,,Biotic,NA,Disease Resistance (B)
"Bean, Common",Phaseolus acutifolius var. tenuifolius ,Tertiary,,,NA,
"Bean, Common",Phaseolus acutifolius var. acutifolius,Tertiary,,,NA,
"Bean, Common",Phaseolus angustissimus ,Tertiary,,Abiotic,NA,Cold Tolerance (AB)
"Bean, Common",Phaseolus filiformis ,Tertiary,,,NA,
"Bean, Jack-",Canavalia megalantha ,Tertiary,,,NA,
"Bean, Jack-",Canavalia brasiliensis,Tertiary,,,NA,
"Bean, Jack-",Canavalia molokaiensis ,Tertiary,,,NA,
"Bean, Jack-",Canavalia sericea,Tertiary,,,NA,
"Bean, Jack-",Canavalia pubescens ,Tertiary,,,NA,
"Bean, Jack-",Canavalia hawaiiensis ,Tertiary,,,NA,
"Bean, Lima",Phaseolus polystachios ,Tertiary,,,NA,
"Bean, Lima",Phaseolus maculatus ,Tertiary,,Biotic,NA,Disease Resistance (B)
"Bean, Sword-",Canavalia rosea,Secondary,,,NA,
"Bean, Sword-",Canavalia cathartica ,Secondary,,Agronomic,NA,Crop Quality (AG)
Beardtongue,Penstemon cobaea,Progenitor,,Agronomic,NA,Ornamental Features (AG)
Bilberry,Vaccinium cespitosum ,Primary,,,NA,
Bilberry,Vaccinium corymbosum ,Tertiary,,,NA,
Bilberry,Vaccinium deliciosum,Secondary,,,NA,
Bilberry,Vaccinium membranaceum ,Secondary,,,NA,
Bilberry,Vaccinium myrtillus ,,,,NA,
Bilberry,Vaccinium ovalifolium ,Secondary,,,NA,
Bilberry,Vaccinium parvifolium ,Secondary,,,NA,
Bilberry,Vaccinium reticulatum,Secondary,,,NA,
Bilberry,Vaccinium scoparium,Secondary,,,NA,
Bilberry,Vaccinium vitis-idaea,Secondary,,,NA,
Bilberry,Vaccinium calycinum ,Secondary,,,NA,
Bilberry,Vaccinium dentatum,Secondary,,,NA,
Blackberry,Rubus allegheniensis,Primary,,Agronomic,NA,Crop Quality (AG)
Blackberry,Rubus canadensis,Primary,,Agronomic,NA,Crop Quality (AG)
Blackberry,Rubus cuneifolius,Primary,,Agronomic,NA,Crop Quality (AG)
Blackberry,Rubus trivialis,Primary,,Abiotic,NA,Drought Resistance (AB)
Blackberry,Rubus ursinus,Primary,,Agronomic,NA,Crop Quality (AG)
Blackberry,Rubus argutus,Primary,,Agronomic,NA,Crop Quality (AG)
Blackberry,Rubus frondosus,Primary,,Abiotic,NA,Heat Tolerance (AB)
Blanket-Flower,Gaillardia aristata,Progenitor,,Agronomic,NA,Ornamental Features (AG)
Blanket-Flower,Gaillardia pulchella,Progenitor,,Agronomic,NA,Ornamental Features (AG)
Bleeding-Heart,Dicentra eximia,Progenitor,,Agronomic,NA,Ornamental Features (AG)
Bleeding-Heart,Dicentra formosa,Progenitor,,Agronomic,NA,Ornamental Features (AG)
"Blueberry, Highbush",Vaccinium angustifolium,Primary,,Agronomic,NA,Crop Quality (AG)
"Blueberry, Highbush",Vaccinium arboreum,,Graftstock,,NA,
"Blueberry, Highbush",Vaccinium caesariense,Secondary,,,NA,
"Blueberry, Highbush",Vaccinium darrowii,Secondary,,Abiotic,NA,Drought Resistance (AB)
"Blueberry, Highbush",Vaccinium elliottii,Secondary,,Abiotic,NA,Drought Resistance (AB)
"Blueberry, Highbush",Vaccinium fuscatum,Secondary,,Abiotic,NA,Cold Tolerance (AB)
"Blueberry, Highbush",Vaccinium myrsinites,Secondary,,Abiotic,NA,Edaphic (AB)
"Blueberry, Highbush",Vaccinium myrtilloides,Tertiary,,,NA,
"Blueberry, Highbush",Vaccinium ovatum,Tertiary,,,NA,
"Blueberry, Highbush",Vaccinium pallidum,Secondary,,Abiotic,NA,Drought Resistance (AB)
"Blueberry, Highbush",Vaccinium simulatum,Secondary,,Abiotic,NA,Cold Tolerance (AB)
"Blueberry, Highbush",Vaccinium tenellum,Secondary,,Abiotic,NA,Edaphic (AB)
"Blueberry, Highbush",Vaccinium uliginosum,Tertiary,,Abiotic,NA,Cold Tolerance (AB)
"Blueberry, Highbush",Vaccinium virgatum,Secondary,,Abiotic,NA,Drought Resistance (AB)
"Blueberry, Highbush",Vaccinium hirsutum,Secondary,,,NA,
"Blueberry, Highbush",Vaccinium boreale,Secondary,,Abiotic,NA,Cold Tolerance (AB)
"Blueberry, Highbush",Vaccinium formosum,Secondary,,,NA,
Bluejoint,Calamagrostis canadensis,,,,NA,
Breadfruit,Artocarpus altilis,,,,NA,
Breadfruit,Artocarpus mariannensis,Primary,,Agronomic,NA,Crop Quality (AG)
