"","CROP.WILD.RELATIVE","Crop","GENEPOOL","GRAFTSTOCK","TRAIT","ONTOLOGY","BREEDING.TYPE","X..COLLECTION","TAXON","RECD_AS","W.wild.source.z.cultivated.source.but.of.known.wild.origin","PSOURCE_ORIGINAL","COLLECTION_INFORMATION","How.Received","Location.code","Qté","ID.verified","VERI_BY","VERI_DT","FAMILY","variant"
"1","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*D","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-PES","12"," "," "," ","Pinaceae",""
"2","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*C","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ERB","3"," "," "," ","Pinaceae",""
"3","Abies balsamea","Fir",NA,NA,NA,NA,NA,"1553-64-1979*D","Abies balsamea 'Nana'","Abies balsamea 'Nana'","G","1857-50 Abies balsamea nana greffés sur 1286-63 A. balsamea"," ","CT","JALP-1","1"," "," "," ","Pinaceae","Nana'"
"4","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*F","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ERB","3"," "," "," ","Pinaceae",""
"5","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*B","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ERC","4"," "," "," ","Pinaceae",""
"6","Abies balsamea","Fir",NA,NA,NA,NA,NA,"38-2011*A","Abies balsamea 'Tyler Blue'","Abies balsamea 'Tyler Blue'","G","Au Jardin de Jean-Pierre enr., Qc"," ","PT","JFRU-ROC","1"," "," "," ","Pinaceae","Tyler Blue'"
"7","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*A","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ARB","6"," "," "," ","Pinaceae",""
"8","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2315-2000*A","Abies balsamea","Abies balsamea","W","Viola, Stefano","Canada: Québec: Durham-sud, cté de Drummond. s.n. 25 May 2000.","PT","JPRE-PES","4"," "," "," ","Pinaceae",""
"9","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*I","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ALP","1"," "," "," ","Pinaceae",""
"10","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*E","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ARB","1"," "," "," ","Pinaceae",""
"11","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*H","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-PES","16"," "," "," ","Pinaceae",""
"12","Abies balsamea","Fir",NA,NA,NA,NA,NA,"1553-64-2011*A","Abies balsamea 'Nana'","Abies balsamea 'Nana'","G","1857-50 Abies balsamea nana greffés sur 1286-63 A. balsamea"," ","CT","JFRU-10B","2"," "," "," ","Pinaceae","Nana'"
"13","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*G","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ALP","1"," "," "," ","Pinaceae",""
"14","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2328-2001*B","Abies balsamea","Abies balsamea","W","Alain Cuerrier (botaniste)","Canada: Québec: St-Jérôme.","PT","JPRE-ERB","1"," "," "," ","Pinaceae",""
