,garden,crop,species,variant,latitude,longitude,country,province,IUCNRedList
1,Montreal Botanical Garden,Fir,Abies balsamea,Tyler Blue',NA,NA, ,,NA
2,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
3,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
4,Montreal Botanical Garden,Fir,Abies balsamea,Nana',NA,NA, ,,NA
5,Montreal Botanical Garden,Fir,Abies balsamea,Albospicata',NA,NA, ,,NA
6,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
7,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA,Canada,Quebec,NA
8,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
9,Montreal Botanical Garden,Fir,Abies balsamea,Nana',NA,NA, ,,NA
10,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA,Canada,Quebec,NA
11,Montreal Botanical Garden,Fir,Abies balsamea,Hudsonia',NA,NA, ,,NA
12,Montreal Botanical Garden,Fir,Abies balsamea,Nana',NA,NA, ,,NA
13,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
14,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
15,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA,Canada,Quebec,NA
16,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA,Canada,Quebec,NA
17,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
18,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
19,Montreal Botanical Garden,Fir,Abies balsamea,Hudsonia',NA,NA, ,,NA
20,Montreal Botanical Garden,Fir,Abies balsamea,,NA,NA, ,,NA
21,Montreal Botanical Garden,Fir,Abies lasiocarpa,Mulligan's Dwarf',NA,NA, ,,NA
22,Montreal Botanical Garden,Fir,Abies lasiocarpa,Argentea',NA,NA, ,,NA
23,Montreal Botanical Garden,Fir,Abies lasiocarpa,arizonica 'Compacta',NA,NA, ,,NA
24,Montreal Botanical Garden,Fir,Abies lasiocarpa,arizonica 'Compacta',NA,NA, ,,NA
25,Montreal Botanical Garden,Maple,Acer glabrum,douglasii,NA,NA,United States,,NA
26,Montreal Botanical Garden,Maple,Acer glabrum,douglasii,NA,NA,United States,,NA
27,Montreal Botanical Garden,Maple,Acer macrophyllum,,NA,NA, ,,NA
28,Montreal Botanical Garden,Maple,Acer nigrum,,NA,NA,Canada,Quebec,NA
29,Montreal Botanical Garden,Maple,Acer nigrum,,NA,NA,Canada,Quebec,NA
30,Montreal Botanical Garden,Maple,Acer nigrum,,NA,NA, ,,NA
31,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA,Canada,Quebec,NA
32,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA,Canada,Quebec,NA
33,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
34,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
35,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
36,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
37,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
38,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
39,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
40,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA,Canada,Quebec,NA
41,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
42,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
43,Montreal Botanical Garden,Maple,Acer pensylvanicum,Erythrocladum',NA,NA, ,,NA
44,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
45,Montreal Botanical Garden,Maple,Acer pensylvanicum,Dr Bump',NA,NA, ,,NA
46,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
47,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
48,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA,Canada,Quebec,NA
49,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA,Canada,Quebec,NA
50,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
51,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
52,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
53,Montreal Botanical Garden,Maple,Acer pensylvanicum,,NA,NA, ,,NA
54,Montreal Botanical Garden,Maple,Acer rubrum,,NA,NA, ,,NA
