"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"1","Mount Pleasant Group","Fir","Abies balsamea","","NA","NA","NA","NA","NA"
"2","Mount Pleasant Group","Fir","Abies lasiocarpa","","NA","NA","NA","NA","NA"
"3","Mount Pleasant Group","Maple","Acer pensylvanicum","","NA","NA","NA","NA","NA"
"4","Mount Pleasant Group","Maple","Acer rubrum","Morgan'","NA","NA","NA","NA","NA"
"5","Mount Pleasant Group","Maple","Acer rubrum","","NA","NA","NA","NA","NA"
"6","Mount Pleasant Group","Maple","Acer saccharinum","","NA","NA","NA","NA","NA"
"7","Mount Pleasant Group","Maple","Acer saccharinum","Laciniatum'","NA","NA","NA","NA","NA"
"8","Mount Pleasant Group","Maple","Acer saccharinum","Lees Red'","NA","NA","NA","NA","NA"
"9","Mount Pleasant Group","Maple","Acer saccharum","nigrum","NA","NA","NA","NA","NA"
"10","Mount Pleasant Group","Maple","Acer saccharum","","NA","NA","NA","NA","NA"
"11","Mount Pleasant Group","Alder","Alnus rugosa","","NA","NA","NA","NA","NA"
"12","Mount Pleasant Group","Saskatoon","Amelanchier alnifolia","","NA","NA","NA","NA","NA"
"13","Mount Pleasant Group","Saskatoon","Amelanchier canadensis","","NA","NA","NA","NA","NA"
"14","Mount Pleasant Group","Saskatoon","Amelanchier laevis","","NA","NA","NA","NA","NA"
"15","Mount Pleasant Group","Pawpaw","Asimina triloba","","NA","NA","NA","NA","NA"
"16","Mount Pleasant Group","Birch","Betula lenta","","NA","NA","NA","NA","NA"
"17","Mount Pleasant Group","Birch","Betula papyrifera","","NA","NA","NA","NA","NA"
"18","Mount Pleasant Group","Birch","Betula populifolia","","NA","NA","NA","NA","NA"
"19","Mount Pleasant Group","Hickory","Carya cordiformis","","NA","NA","NA","NA","NA"
"20","Mount Pleasant Group","Hickory","Carya laciniosa","","NA","NA","NA","NA","NA"
"21","Mount Pleasant Group","Hickory","Carya ovata","","NA","NA","NA","NA","NA"
"22","Mount Pleasant Group","Hickory","Carya tomentosa","","NA","NA","NA","NA","NA"
"23","Mount Pleasant Group","Chestnut","Castanea dentata","","NA","NA","NA","NA","NA"
"24","Mount Pleasant Group","Ornamental Hackberry","Celtis occidentalis","","NA","NA","NA","NA","NA"
"25","Mount Pleasant Group","Cypress","Chamaecyparis nootkatensis","","NA","NA","NA","NA","NA"
"26","Mount Pleasant Group","Cypress","Chamaecyparis nootkatensis","Glauca'","NA","NA","NA","NA","NA"
"27","Mount Pleasant Group","Beech","Fagus grandifolia","","NA","NA","NA","NA","NA"
"28","Mount Pleasant Group","Ash","Fraxinus americana","","NA","NA","NA","NA","NA"
"29","Mount Pleasant Group","Ash","Fraxinus nigra","","NA","NA","NA","NA","NA"
"30","Mount Pleasant Group","Ash","Fraxinus nigra","Fall Gold'","NA","NA","NA","NA","NA"
"31","Mount Pleasant Group","Ash","Fraxinus pennsylvanica","lanceolata","NA","NA","NA","NA","NA"
"32","Mount Pleasant Group","Ash","Fraxinus pennsylvanica","","NA","NA","NA","NA","NA"
"33","Mount Pleasant Group","Ash","Fraxinus quadrangulata","","NA","NA","NA","NA","NA"
"34","Mount Pleasant Group","Witch Hazel","Hamamelis virginiana","","NA","NA","NA","NA","NA"
"35","Mount Pleasant Group","Walnut","Juglans cinerea","","NA","NA","NA","NA","NA"
"36","Mount Pleasant Group","Walnut","Juglans nigra","","NA","NA","NA","NA","NA"
"37","Mount Pleasant Group","Larch","Larix laricina","","NA","NA","NA","NA","NA"
"38","Mount Pleasant Group","Magnolia","Magnolia acuminata","","NA","NA","NA","NA","NA"
"39","Mount Pleasant Group","Spruce","Picea glauca","Conica'","NA","NA","NA","NA","NA"
"40","Mount Pleasant Group","Spruce","Picea glauca","","NA","NA","NA","NA","NA"
"41","Mount Pleasant Group","Spruce","Picea glauca","Blue Wonder'","NA","NA","NA","NA","NA"
"42","Mount Pleasant Group","Spruce","Picea mariana","","NA","NA","NA","NA","NA"
"43","Mount Pleasant Group","Spruce","Picea sitchensis","","NA","NA","NA","NA","NA"
"44","Mount Pleasant Group","Pine","Pinus flexilis","","NA","NA","NA","NA","NA"
"45","Mount Pleasant Group","Pine","Pinus ponderosa","","NA","NA","NA","NA","NA"
"46","Mount Pleasant Group","Pine","Pinus resinosa","","NA","NA","NA","NA","NA"
"47","Mount Pleasant Group","Plum","Prunus americana","","NA","NA","NA","NA","NA"
"48","Mount Pleasant Group","Plum","Prunus nigra","","NA","NA","NA","NA","NA"
"49","Mount Pleasant Group","Cherry","Prunus pensylvanica","","NA","NA","NA","NA","NA"
"50","Mount Pleasant Group","Cherry","Prunus serotina","","NA","NA","NA","NA","NA"
"51","Mount Pleasant Group","Cherry","Prunus virginiana","","NA","NA","NA","NA","NA"
"52","Mount Pleasant Group","Cherry","Prunus virginiana","Schubert'","NA","NA","NA","NA","NA"
"53","Mount Pleasant Group","Oak","Quercus alba","","NA","NA","NA","NA","NA"
"54","Mount Pleasant Group","Oak","Quercus bicolor","","NA","NA","NA","NA","NA"
"55","Mount Pleasant Group","Oak","Quercus palustris","","NA","NA","NA","NA","NA"
"56","Mount Pleasant Group","Oak","Quercus prinus","","NA","NA","NA","NA","NA"
"57","Mount Pleasant Group","Oak","Quercus rubra","","NA","NA","NA","NA","NA"
"58","Mount Pleasant Group","Oak","Quercus velutina","","NA","NA","NA","NA","NA"
"59","Mount Pleasant Group","Elderberry","Sambucus canadensis","","NA","NA","NA","NA","NA"
"60","Mount Pleasant Group","Taxus","Taxus canadensis","","NA","NA","NA","NA","NA"
"61","Mount Pleasant Group","Cedar","Thuja occidentalis","Woodwardii'","NA","NA","NA","NA","NA"
"62","Mount Pleasant Group","Cedar","Thuja occidentalis","","NA","NA","NA","NA","NA"
"63","Mount Pleasant Group","Cedar","Thuja occidentalis","Globosa'","NA","NA","NA","NA","NA"
"64","Mount Pleasant Group","Cedar","Thuja occidentalis","Lutea'","NA","NA","NA","NA","NA"
"65","Mount Pleasant Group","Cedar","Thuja occidentalis","Rheingold'","NA","NA","NA","NA","NA"
"66","Mount Pleasant Group","Linden","Tilia americana","","NA","NA","NA","NA","NA"
"67","Mount Pleasant Group","Linden","Tilia americana","Redmond'","NA","NA","NA","NA","NA"
"68","Mount Pleasant Group","Hemlock","Tsuga canadensis","","NA","NA","NA","NA","NA"
"69","Mount Pleasant Group","Elm","Ulmus americana","","NA","NA","NA","NA","NA"
"70","Mount Pleasant Group","Elm","Ulmus rubra","","NA","NA","NA","NA","NA"
"71","Mount Pleasant Group","Cranberry","Viburnum acerifolium","","NA","NA","NA","NA","NA"
"72","Mount Pleasant Group","Cranberry","Viburnum dentatum","","NA","NA","NA","NA","NA"
"73","Mount Pleasant Group","Cranberry","Viburnum trilobum","","NA","NA","NA","NA","NA"
