"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"1","Royal Botanical Garden","Fir","Abies balsamea","",".",".","Canada","Ontario","NA"
"2","Royal Botanical Garden","Fir","Abies balsamea","Nana'",".",".","","","NA"
"3","Royal Botanical Garden","Fir","Abies balsamea","Nana'",".",".","","","NA"
"4","Royal Botanical Garden","Fir","Abies balsamea","",".",".","","","NA"
"5","Royal Botanical Garden","Fir","Abies balsamea","",".",".","","","NA"
"6","Royal Botanical Garden","Fir","Abies grandis","idahoensis",".",".","Canada","British Columbia","NA"
"7","Royal Botanical Garden","Fir","Abies lasiocarpa","",".",".","","","NA"
"8","Royal Botanical Garden","Fir","Abies lasiocarpa","Compacta'",".",".","","","NA"
"9","Royal Botanical Garden","Fir","Abies lasiocarpa","Compacta'",".",".","","","NA"
"10","Royal Botanical Garden","Fir","Abies lasiocarpa","Arizonica Compacta'",".",".","","","NA"
"11","Royal Botanical Garden","Fir","Abies lasiocarpa","Compacta'",".",".","","","NA"
"12","Royal Botanical Garden","Maple","Acer negundo","",".",".","Canada","Ontario","NA"
"13","Royal Botanical Garden","Maple","Acer negundo","Kelly's Gold'",".",".","","","NA"
"14","Royal Botanical Garden","Maple","Acer pensylvanicum","",".",".","","","NA"
"15","Royal Botanical Garden","Maple","Acer pensylvanicum","",".",".","","","NA"
"16","Royal Botanical Garden","Maple","Acer rubrum","",".",".","","","NA"
"17","Royal Botanical Garden","Maple","Acer rubrum","Bowhall'",".",".","","","NA"
"18","Royal Botanical Garden","Maple","Acer rubrum","",".",".","","","NA"
"19","Royal Botanical Garden","Maple","Acer rubrum","Tilford'",".",".","","","NA"
"20","Royal Botanical Garden","Maple","Acer rubrum","",".",".","","","NA"
"21","Royal Botanical Garden","Maple","Acer rubrum","Tilford'",".",".","","","NA"
"22","Royal Botanical Garden","Maple","Acer rubrum","Gerling'",".",".","","","NA"
"23","Royal Botanical Garden","Maple","Acer rubrum","",".",".","","","NA"
"24","Royal Botanical Garden","Maple","Acer rubrum","Scanlon'",".",".","","","NA"
"25","Royal Botanical Garden","Maple","Acer rubrum","",".",".","","","NA"
"26","Royal Botanical Garden","Maple","Acer rubrum","Scanlon'",".",".","","","NA"
"27","Royal Botanical Garden","Maple","Acer rubrum","Schlesingeri'",".",".","","","NA"
"28","Royal Botanical Garden","Maple","Acer rubrum","Northwood'",".",".","","","NA"
"29","Royal Botanical Garden","Maple","Acer rubrum","",".",".","","","NA"
"30","Royal Botanical Garden","Maple","Acer rubrum","Gerling'",".",".","","","NA"
"31","Royal Botanical Garden","Maple","Acer rubrum","Karpick'",".",".","","","NA"
"32","Royal Botanical Garden","Maple","Acer rubrum","",".",".","","","NA"
"33","Royal Botanical Garden","Maple","Acer saccharinum","Laciniatum'",".",".","","","NA"
"34","Royal Botanical Garden","Maple","Acer saccharinum","Silver Pyramid'",".",".","","","NA"
"35","Royal Botanical Garden","Maple","Acer saccharinum","",".",".","","","NA"
"36","Royal Botanical Garden","Maple","Acer saccharinum","",".",".","","","NA"
"37","Royal Botanical Garden","Maple","Acer saccharum","Bonfire'",".",".","","","NA"
"38","Royal Botanical Garden","Maple","Acer saccharum"," nigrum 'Green Column'",".",".","","","NA"
"39","Royal Botanical Garden","Maple","Acer saccharum"," nigrum 'Green Column'",".",".","","","NA"
"40","Royal Botanical Garden","Maple","Acer saccharum","",".",".","","","NA"
"41","Royal Botanical Garden","Maple","Acer saccharum","Commemoration'",".",".","","","NA"
