"","CROP.WILD.RELATIVE","Crop","GENEPOOL","GRAFTSTOCK","TRAIT","ONTOLOGY","BREEDING.TYPE","TaxonName","AccYear","ItemLocationName","IUCNRedList","IUCNRedListCode","LifeForm","NationalRedListCode","NationalRedList","RegionalRedList","RegionalRedListCode","Locality","MaterialType","AltitudeFrom","AltitudeTo","CoordLatDD","CoordLongDD","CountryName","ItemAccNoRef","ContactNameFull","TaxonNameFull","ItemAccNoFull","Cultivar","AccNoCons","CollNo","DetType","ProvenanceCode","ItemNo","AtrA_Variant","Collector","ItemConsNo","ItemStatusDate","ItemStatusCode","ItemType","AccNoFull","CollName","AccNo","CollNo.1","CollCode","Genus","ItemLocationRef","ItemSpecCount","SpecCount","variant"
"1","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Southmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.09","","","bjs.2016-0060","","W",9,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"2","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Nursery","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Mt. Elphinstone FSR","seed",725,NA,49.48356,-123.56923,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0306.88","","","bjs.2016-0012","","W",88,"","Stormes, Ben",NA,"2020-07-28","PRO","Planting","2016-0306","UBC Botanical Garden",306,"bjs.2016-0012","UBC","Abies","","8","",""
"3","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle east bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.12","","","bjs.2016-0060","","W",12,"","Stormes, Ben",NA,"2020-02-27","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"4","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.07","","","bjs.2016-0060","","W",7,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"5","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle east bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.11","","","bjs.2016-0060","","W",11,"","Stormes, Ben",NA,"2020-02-27","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"6","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",1974,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","seedling",457,914,55.1,-127.4,"Canada","","Dr. Jim Pojar, (ex-Botany, UBC) BC Min. Forestry, Smithers, BC, Canada","Abies amabilis Douglas ex J.Forbes","1974-0438.01","","09129/0-0270-1974","Pojar.086","","W",1,"","Pojar, Jim",NA,"1996-01-24","B","Planting","1974-0438","UBC Botanical Garden",438,"Pojar.086","UBC","Abies","","1","2",""
"7","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2002,"Between upper and middle path, in middle bed of narrowest part of BC Rainforest Garden","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","west coast of Vancouver Island","plant",NA,NA,NA,NA,"Canada","","Harry Hill, Sechelt, British Columbia","Abies amabilis Douglas ex J.Forbes","2002-0134.01","","36256/0-0676-2002","","","W",1,"","",NA,"2020-11-20","O","Planting","2002-0134","UBC Botanical Garden",134,"","UBC","Abies","","1","1",""
"8","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.06","","","bjs.2016-0060","","W",6,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"9","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.05","","","bjs.2016-0060","","W",5,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"10","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Southmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.08","","","bjs.2016-0060","","W",8,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"11","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.03","","","bjs.2016-0060","","W",3,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"12","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle east bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.10","","","bjs.2016-0060","","W",10,"","Stormes, Ben",NA,"2020-02-27","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"13","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.01","","","bjs.2016-0060","","W",1,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"14","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.04","","","bjs.2016-0060","","W",4,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"15","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.02","","","bjs.2016-0060","","W",2,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"16","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2011,"Tradescant","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.04","","40803/0-0063-2011","","","W",4,"","",NA,"2020-02-04","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7",""
"17","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2017,"Bed 3 Bulb Frame (Alpine Garden)","Least concern","LC","Tree","","","","","","plant",NA,NA,NA,NA,"","","Glenn Patterson, 4761 Pilot House, West Vancouver, BC, Canada","Abies balsamea (L.) Mill.","2017-0046.01","","","","cf.","G",1,"","",NA,"2020-06-17","O","Planting","2017-0046","UBC Botanical Garden",46,"","UBC","Abies","","1","1",""
"18","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea 'Nana'",1987,"Bed 3 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","1987-0067.01","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.03","'Nana'","25461/0-0526-1987","","","G",3,"","",NA,"2019-06-27","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 3","1","3","Nana'"
"19","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea 'Nana'",1987,"Bed 1 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","1987-0067.01","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.02","'Nana'","25461/0-0526-1987","","","G",2,"","",NA,"2018-08-10","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 2","1","3","Nana'"
"20","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","2011-0524.01","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.03","","40803/0-0063-2011","","","W",3,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7",""
"21","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.01","","40803/0-0063-2011","","","W",1,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7",""
"22","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea 'Nana'",1987,"Bed 3 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.01","'Nana'","25461/0-0526-1987","","","G",1,"","",NA,"2019-06-24","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 2","1","3","Nana'"
"23","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","2011-0524.01","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.02","","40803/0-0063-2011","","","W",2,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7",""
"24","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2003,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2003-0296.01","","37021/0-1003-2003","","","U",1,"","",NA,"2020-11-20","O","Planting","2003-0296","UBC Botanical Garden",296,"","UBC","Abies","","1","1",""
"25","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2004,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2004-0115.01","","37147/0-1003-2004","","","U",1,"","",NA,"2008-08-11","P","Planting","2004-0115","UBC Botanical Garden",115,"","UBC","Abies","","1","1",""
"26","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2017,"Nursery","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Neville Nye Memorial Cypress Grove, Flounce Rock at the end of Forest Road 32-2E-34D off Ulrich Road from Crater Lake Hwy, Cascade Gorge","seed",1255,NA,42.732528,-122.605444,"United States of America","2017-0412.87","UBC Botanical Garden Field Collections, Vancouver, BC, Canada","Abies grandis (Douglas ex D.Don) Lindl.","2017-0412.86","","","EHOC42","","W",86,"","McCheyne, Neil; David Gray & Andrew Jamieson",NA,"2021-01-26","PRO","Planting","2017-0412","UBC Botanical Garden",412,"EHOC42","UBC","Abies","","2","many",""
"27","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",1975,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Hope Slide, east of slide,  in gravel pit north side of road by big rock at east end of meadows","plant",610,NA,49.383333,-121.383333,"Canada","","Rose, Allan A.","Abies grandis (Douglas ex D.Don) Lindl.","1975-0757.01","","12486/0-0284-1975","AAR.75919","","W",1,"","Rose, Allan A.",NA,"2007-12-14","B","Planting","1975-0757","UBC Botanical Garden",757,"AAR.75919","UBC","Abies","","1","1",""
"28","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2004,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2004-0116.01","","37148/0-1003-2004","","","U",1,"","",NA,"2008-08-11","P","Planting","2004-0116","UBC Botanical Garden",116,"","UBC","Abies","","1","1",""
