"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"1","University of Guelph Arboretum","Fir","Abies amabilis","Spreading Star'","","","United Kingdom","NA","NA"
"2","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"3","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"4","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","","","Canada","NA","NA"
"5","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"6","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"7","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"8","University of Guelph Arboretum","Fir","Abies balsamea","balsamea","","","Canada","NA","NA"
"9","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"10","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"11","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"12","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"13","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"14","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"15","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"16","University of Guelph Arboretum","Fir","Abies balsamea","","46.32827319","-79.37864484","Canada","NA","NA"
"17","University of Guelph Arboretum","Fir","Abies balsamea","","46.32827319","-79.37864484","Canada","NA","NA"
"18","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"19","University of Guelph Arboretum","Fir","Abies balsamea","","46.32827319","-79.37864484","Canada","NA","NA"
"20","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"21","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"22","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"23","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"24","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"25","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"26","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"27","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"28","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"29","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"30","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"31","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"32","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"33","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"34","University of Guelph Arboretum","Fir","Abies balsamea","","43.46208063","-80.25458956","Canada","NA","NA"
"35","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"36","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"37","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"38","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"39","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"40","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"41","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"42","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"43","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"44","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"45","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"46","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"47","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"48","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","","","Canada","NA","NA"
"49","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"50","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"51","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"52","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"53","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"54","University of Guelph Arboretum","Fir","Abies balsamea","","","","United States of America","NA","NA"
"55","University of Guelph Arboretum","Fir","Abies balsamea","","46.32827319","-79.37864484","Canada","NA","NA"
"56","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"57","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"58","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"59","University of Guelph Arboretum","Fir","Abies balsamea","","46.32827319","-79.37864484","Canada","NA","NA"
"60","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"61","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"62","University of Guelph Arboretum","Fir","Abies balsamea","","45.05651427","-81.38355159","Canada","NA","NA"
"63","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"64","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"65","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"66","University of Guelph Arboretum","Fir","Abies balsamea","","44.69407105","-81.26251494","Canada","NA","NA"
"67","University of Guelph Arboretum","Fir","Abies balsamea","","","","","NA","NA"
"68","University of Guelph Arboretum","Fir","Abies balsamea","","","","","NA","NA"
"69","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"70","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"71","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"72","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"73","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"74","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"75","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"76","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"77","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"78","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"79","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"80","University of Guelph Arboretum","Fir","Abies balsamea","","","","Canada","NA","NA"
"81","University of Guelph Arboretum","Fir","Abies balsamea","phanerolepis","48.55","-55.51","Canada","NA","NA"
"82","University of Guelph Arboretum","Fir","Abies grandis","","","","United States of America","NA","NA"
"83","University of Guelph Arboretum","Fir","Abies lasiocarpa","Compacta'","","","Canada","NA","NA"
"84","University of Guelph Arboretum","Fir","Abies lasiocarpa","","","","Canada","NA","NA"
"85","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","","NA","NA"
"86","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","","NA","NA"
"87","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","Canada","NA","NA"
"88","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","","NA","NA"
"89","University of Guelph Arboretum","Maple","Acer negundo"," negundo","43.284197","-80.462618","Canada","NA","NA"
"90","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","","NA","NA"
"91","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","Canada","NA","NA"
"92","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","Canada","NA","NA"
"93","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","","NA","NA"
"94","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","Canada","NA","NA"
"95","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","","NA","NA"
"96","University of Guelph Arboretum","Maple","Acer negundo"," interius","37.783138","-83.682957","United States of America","NA","NA"
"97","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","Canada","NA","NA"
"98","University of Guelph Arboretum","Maple","Acer negundo"," negundo","","","","NA","NA"
"99","University of Guelph Arboretum","Maple","Acer pensylvanicum","","","","Canada","NA","NA"
"100","University of Guelph Arboretum","Maple","Acer pensylvanicum","","","","Canada","NA","NA"
