,Crop,sci_nam,scntfcN,vrbtmSN,ECO_CODE,ECO_NAME,ECODE_NAME,PRENAME,PRFNAME,geometry,
1,Wheat,Elymus albicans,Agropyron albicans Scribn. & J.G.Sm.,Agropyron albicans,NA0808,Fescue-Mixed Grass Prairie,NA0808. Fescue-Mixed Grass Prairie,Alberta,Alberta,c(-112.20814, 51.762733)
2,Wheat,Elymus albicans,Agropyron albicans Scribn. & J.G.Sm.,Agropyron albicans,NA0811,Northern Tallgrass Prairie,NA0811. Northern Tallgrass Prairie,Manitoba,Manitoba,c(-96.512953, 49.526751)
3,Wheat,Elymus albicans,Agropyron albicans Scribn. & J.G.Sm.,Agropyron albicans,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Saskatchewan,Saskatchewan,c(-102.833, 50.633)
4,Wheat,Elymus albicans,Agropyron albicans Scribn. & J.G.Sm.,Agropyron albicans,NA0603,Boreal Plains,NA0603. Boreal Plains,Saskatchewan,Saskatchewan,c(-103.93, 52.62)
5,Wheat,Elymus albicans,Agropyron albicans Scribn. & J.G.Sm.,Agropyron albicans,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-115.57, 51.18)
6,Wheat,Elymus albicans,Agropyron albicans Scribn. & J.G.Sm.,Agropyron albicans Scribn. & J. G. Sm.,NA0808,Fescue-Mixed Grass Prairie,NA0808. Fescue-Mixed Grass Prairie,Saskatchewan,Saskatchewan,c(-107.983392, 52.057511)
7,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-114.525283, 53.265217)
8,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,British Columbia,Colombie-Britannique,c(-116.598483, 51.527103)
9,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-115.954034, 51.290441)
10,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Cassidy) Malte,NA0603,Boreal Plains,NA0603. Boreal Plains,Northwest Territories,Territoires du Nord-Ouest,c(-111.866667, 60.016667)
11,Wheat,Elymus scribneri,Agropyron scribneri Vasey,Agropyron scribneri (Willdenow) P. Beauvois,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-111.45, 49.016667)
12,Wheat,Elymus scribneri,Agropyron scribneri Vasey,Agropyron scribneri Vasey,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-114.05, 49.083333)
13,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-112.650097, 53.370427)
14,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-111.695459, 50.859396)
15,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-127.416667, 60.15)
16,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0808,Fescue-Mixed Grass Prairie,NA0808. Fescue-Mixed Grass Prairie,Alberta,Alberta,c(-112.21985, 51.768974)
17,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-128.133333, 65.85)
18,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0610,Yukon Plateau And Flats,NA0610. Yukon Plateau and Flats,Yukon,Yukon,c(-138.216667, 65.333333)
19,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-114.25, 62.666667)
20,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0603,Boreal Plains,NA0603. Boreal Plains,Manitoba,Manitoba,c(-98.498991, 51.389542)
21,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0604,Boreal Shield,NA0604. Boreal Shield,Manitoba,Manitoba,c(-97.793175, 54.807972)
22,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Yukon,Yukon,c(-128.25, 61.433333)
23,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Northwest Territories,Territoires du Nord-Ouest,c(-128.283333, 61.966667)
24,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0603,Boreal Plains,NA0603. Boreal Plains,Saskatchewan,Saskatchewan,c(-105.233333, 53.766667)
25,Wheat,Elymus violaceus,Agropyron trachycaulum (Link) Malte,Agropyron trachycaulum (Link) Malte,NA0404,Great Lakes,NA0404. Great Lakes,Ontario,Ontario,c(-88.03757, 48.69028)
26,Wheat,Elymus violaceus,Elymus trachycaulis (Link) Gould,Elymus trachycaulis,NA0411,Northern Appalachian / Acadian,NA0411. Northern Appalachian / Acadian,New Brunswick,Nouveau-Brunswick,c(-64.9045, 46.8208)
27,Wheat,Elymus macrourus,Elymus macrourus (Turcz.) Tzvelev,Elymus macrourus,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-121.37, 61.87)
28,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0608,Taiga Plains,NA0608. Taiga Plains,Alberta,Alberta,c(-113.12, 59.6)
29,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0604,Boreal Shield,NA0604. Boreal Shield,Saskatchewan,Saskatchewan,c(-109.57, 59.05)
30,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0606,Hudson Plains,NA0606. Hudson Plains,Ontario,Ontario,c(-85.57, 53.08)
31,Wheat,Elymus lanceolatus,Elymus lanceolatus subsp. psammophilus (J.M.Gillett & Senn) Á.Löve,Elymus lanceolatus subsp. psammophilus,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-137.63, 60.78)
32,Wheat,Elymus alaskanus,Elymus alaskanus (Scribn. & Merr.) Á.Löve,Elymus alaskanus,NA1107,Northern Arctic,NA1107. Northern Arctic,Nunavut,Nunavut,c(-110.708, 68.6569)
33,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0605,Eastern Taiga Shield,NA0605. Eastern Taiga Shield,Quebec,Quebec,c(-68.42, 58.12)
34,Wheat,Elymus alaskanus,Elymus alaskanus (Scribn. & Merr.) Á.Löve,Elymus alaskanus,NA1108,Southern Arctic,NA1108. Southern Arctic,Northwest Territories,Territoires du Nord-Ouest,c(-122.241, 68.6867)
35,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0606,Hudson Plains,NA0606. Hudson Plains,Manitoba,Manitoba,c(-94.08, 57.75)
36,Wheat,Elymus elymoides,Elymus elymoides (Raf.) Swezey,Elymus elymoides,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,British Columbia,Colombie-Britannique,c(-114.27, 49.03)
37,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0604,Boreal Shield,NA0604. Boreal Shield,Quebec,Quebec,c(-76.83, 51.33)
38,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0606,Hudson Plains,NA0606. Hudson Plains,Quebec,Quebec,c(-78.25, 52.55)
39,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA1107,Northern Arctic,NA1107. Northern Arctic,Nunavut,Nunavut,c(-64.75, 81.73)
40,Wheat,Elymus alaskanus,Elymus alaskanus (Scribn. & Merr.) Á.Löve,Elymus alaskanus,NA1107,Northern Arctic,NA1107. Northern Arctic,Northwest Territories,Territoires du Nord-Ouest,c(-116.379, 71.2079)
41,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-60.42, 53.35)
42,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0608,Taiga Plains,NA0608. Taiga Plains,British Columbia,Colombie-Britannique,c(-122.8, 57.38)
43,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,British Columbia,Colombie-Britannique,c(-124.57, 58.52)
44,Wheat,Elymus violaceus,Elymus trachycaulus (Link) Gould ex Shinners,Elymus trachycaulus,NA0612,Alaska Range,NA0612. Alaska Range,Yukon,Yukon,c(-138.52, 61.05)
