CROP,CROP WILD RELATIVE,GENEPOOL,GRAFTSTOCK,TRAIT,ONTOLOGY,BREEDING TYPE
Achira,Canna indica L.,,,,,
Achira,Canna indica L.,Primary,,,,
Aji,Capsicum annuum L. var. glabriusculum (Dunal) Heiser & Pickersgill,Secondary,,,,
"Amaranth, Purple",Amaranthus hybridus L.,Tertiary,,,,
"Amaranth, Purple",Amaranthus retroflexus L.,Secondary,,,,
"Amaranth, Purple",Amaranthus palmeri S. Watson,Tertiary,,,,
"Amaranth, Purple",Amaranthus powellii S. Watson,Secondary,,Agronomic,,Fruit/Seed Retention (AG)
"Amaranth, Purple",Amaranthus wrightii S. Watson,Secondary,,,,
Apple,Malus angustifolia (Aiton) Michx.,Tertiary,,,,
Apple,Malus coronaria (L.) Mill.,Tertiary,,,,
Apple,Malus fusca (Raf.) C. K. Schneid.,,Graftstock,Abiotic,,Waterlogging Tolerance (AB)
Apple,Malus fusca (Raf.) C. K. Schneid.,,Graftstock,Biotic,,Disease Resistance (B)
Apple,Malus fusca (Raf.) C. K. Schneid.,Tertiary,,Biotic,,Disease Resistance (B)
Apple,Malus fusca (Raf.) C. K. Schneid.,Tertiary,,Fertility,,Gene Transfer (F)
Apple,Malus ioensis (Alph. Wood) Britton,Tertiary,,,,
Apricot,Prunus americana Marshall,Progenitor,Graftstock,,,
Apricot,Prunus americana Marshall,Tertiary,,,,
Apricot,Prunus andersonii A. Gray,Tertiary,,,,
Apricot,Prunus angustifolia Marshall,Tertiary,,,,
Apricot,Prunus fremontii S. Watson,Tertiary,,,,
Apricot,Prunus hortulana L. H. Bailey,Tertiary,,,,
Apricot,Prunus maritima Marshall,Tertiary,,,,
Apricot,Prunus mexicana S. Watson,Tertiary,,,,
Apricot,Prunus nigra Aiton,Tertiary,,,,
Apricot,Prunus pumila L.,Tertiary,,,,
Apricot,Prunus subcordata Benth.,Tertiary,,,,
Apricot,Prunus umbellata Elliott,Tertiary,,,,
Apricot,Prunus rivularis Scheele,Progenitor,Graftstock,,,
Apricot,Prunus rivularis Scheele,Tertiary,,,,
Apricot,Prunus geniculata R. M. Harper,Tertiary,,,,
Apricot,Prunus gracilis Engelm. & A. Gray,Tertiary,,,,
Apricot,Prunus murrayana E. J. Palmer,Tertiary,,,,
Apricot,Prunus pumila L. var. besseyi (L. H. Bailey) Waugh,Progenitor,Graftstock,,,
Apricot,Prunus pumila L. var. besseyi (L. H. Bailey) Waugh,Tertiary,,,,
Avocado,Persea borbonia (L.) Spreng.,,Graftstock,Biotic,,Disease Resistance (B)
Bambara Groundnut,Vigna luteola (Jacq.) Benth.,Tertiary,,,,
Bambara Groundnut,Vigna marina (Burm.) Merr.,Tertiary,,Abiotic,,Drought Resistance (AB)
Bambara Groundnut,Vigna marina (Burm.) Merr.,Tertiary,,Abiotic,,Salt Tolerance (AB)
Barley,Hordeum brachyantherum Nevski,Tertiary,,,,
Barley,Hordeum depressum (Scribn. & J. G. Sm.) Rydb.,Tertiary,,,,
Barley,Hordeum jubatum L.,Tertiary,,Abiotic,,Salt Tolerance (AB)
Barley,Hordeum pusillum Nutt.,Tertiary,,,,
Barley,Leymus mollis (Trin.) Pilg.,Tertiary,,Biotic,,Disease Resistance (B)
Barley,Hordeum arizonicum Covas,Tertiary,,,,
Barley,Hordeum intercedens Nevski,Tertiary,,,,
Barley,Hordeum brachyantherum Nevski subsp. brachyantherum,Tertiary,,,,
Barley,Hordeum brachyantherum Nevski subsp. californicum (Covas & Stebbins) Bothmer et al.,Tertiary,,,,
Barley,Hordeum jubatum L. subsp. jubatum,Tertiary,,,,
Barley,Hordeum jubatum L. subsp. intermedium Bowden,Tertiary,,,,
"Bean, Common",Phaseolus acutifolius A. Gray,Tertiary,,Biotic,,Disease Resistance (B)
"Bean, Common",Phaseolus acutifolius A. Gray var. tenuifolius A. Gray,Tertiary,,,,
"Bean, Common",Phaseolus acutifolius A. Gray var. acutifolius,Tertiary,,,,
"Bean, Common",Phaseolus angustissimus A. Gray,Tertiary,,Abiotic,,Cold Tolerance (AB)
"Bean, Common",Phaseolus filiformis Benth.,Tertiary,,,,
"Bean, Jack-",Canavalia megalantha Merr.,Tertiary,,,,
"Bean, Jack-",Canavalia brasiliensis Mart. ex Benth.,Tertiary,,,,
"Bean, Jack-",Canavalia molokaiensis O. Deg. et al.,Tertiary,,,,
"Bean, Jack-",Canavalia sericea A. Gray,Tertiary,,,,
"Bean, Jack-",Canavalia pubescens Hook. & Arn.,Tertiary,,,,
"Bean, Jack-",Canavalia hawaiiensis O. Deg. et al.,Tertiary,,,,
"Bean, Lima",Phaseolus polystachios (L.) Britton et al.,Tertiary,,,,
"Bean, Lima",Phaseolus maculatus Scheele,Tertiary,,Biotic,,Disease Resistance (B)
"Bean, Scarlet Runner",Phaseolus acutifolius A. Gray,Tertiary,,,,
"Bean, Sword-",Canavalia megalantha Merr.,Tertiary,,,,
