"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"1","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem. ","NA","NA","","","NA"
"2","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem. ","NA","NA","","","NA"
"3","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem. ","NA","NA","","","NA"
"4","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem. ","NA","NA","","","NA"
"5","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem. var. cusickii (Fernald) C. L. Hitchc. ","NA","NA","Canada","British Columbia","NA"
"6","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem. ","NA","NA","Canada","Saskatchewan","NA"
"7","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","(Nutt.) Nutt. ex M. Roem. var. alnifolia ","NA","NA","","","NA"
"8","University of Saskatchewan","Saskatoon","Amelanchier arborea","(F. Michx.) Fernald ","NA","NA","Canada","Ontario","NA"
"9","University of Saskatchewan","Saskatoon","Amelanchier intermedia","Spach ","NA","NA","Canada","Nova Scotia","NA"
"10","University of Saskatchewan","Saskatoon","Amelanchier laevis","Wiegand ","NA","NA","Canada","Ontario","NA"
"11","University of Saskatchewan","Saskatoon","Amelanchier laevis","Wiegand ","NA","NA","Canada","Nova Scotia","NA"
"12","University of Saskatchewan","Saskatoon","Amelanchier sanguinea","(Pursh) DC. ","NA","NA","","","NA"
