"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"1","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"2","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"3","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"4","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"5","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"6","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"7","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"8","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"9","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"10","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"11","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"12","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"13","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"14","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"15","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"16","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"17","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"18","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"19","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"20","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"21","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"22","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"23","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"24","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"25","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"26","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"27","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"28","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"29","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"30","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"31","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"32","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"33","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"34","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"35","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"36","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"37","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"38","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"39","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"40","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"41","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"42","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"43","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"44","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"45","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"46","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"47","University of Saskatchewan","Saskatoon","Amelanchier alnifolia","NA","NA","NA","NA","NA","NA"
"48","University of Saskatchewan","Saskatoon","Amelanchier fernaldii","NA","NA","NA","NA","NA","NA"
"49","University of Saskatchewan","Saskatoon","Amelanchier intermedia","NA","NA","NA","NA","NA","NA"
