,garden,crop,species,variant,latitude,longitude,country,province,IUCNRedList
1,VanDusen Botanical Garden,Fir,Abies amabilis,, , ,NA,NA,NA
2,VanDusen Botanical Garden,Fir,Abies balsamea,, , ,NA,NA,NA
3,VanDusen Botanical Garden,Fir,Abies grandis,, , ,NA,NA,NA
4,VanDusen Botanical Garden,Fir,Abies grandis,, , ,NA,NA,NA
5,VanDusen Botanical Garden,Fir,Abies lasiocarpa,, , ,NA,NA,NA
6,VanDusen Botanical Garden,Fir,Abies lasiocarpa,, , ,NA,NA,NA
7,VanDusen Botanical Garden,Maple,Acer glabrum,, , ,NA,NA,NA
8,VanDusen Botanical Garden,Maple,Acer glabrum,douglasii, , ,NA,NA,NA
9,VanDusen Botanical Garden,Maple,Acer glabrum,douglasii, , ,NA,NA,NA
10,VanDusen Botanical Garden,Maple,Acer macrophyllum,, , ,NA,NA,NA
11,VanDusen Botanical Garden,Maple,Acer negundo,, , ,NA,NA,NA
12,VanDusen Botanical Garden,Maple,Acer negundo,Flamingo', , ,NA,NA,NA
13,VanDusen Botanical Garden,Maple,Acer pensylvanicum,, , ,NA,NA,NA
14,VanDusen Botanical Garden,Maple,Acer rubrum,Red Sunset', , ,NA,NA,NA
15,VanDusen Botanical Garden,Maple,Acer rubrum,Autumn Flame', , ,NA,NA,NA
16,VanDusen Botanical Garden,Maple,Acer rubrum,Scanlon', , ,NA,NA,NA
17,VanDusen Botanical Garden,Maple,Acer rubrum,Bowhall', , ,NA,NA,NA
18,VanDusen Botanical Garden,Maple,Acer rubrum,Autumn Flame', , ,NA,NA,NA
19,VanDusen Botanical Garden,Maple,Acer rubrum,Red Sunset', , ,NA,NA,NA
20,VanDusen Botanical Garden,Maple,Acer rubrum,Morgan', , ,NA,NA,NA
21,VanDusen Botanical Garden,Maple,Acer rubrum,Armstrong', , ,NA,NA,NA
22,VanDusen Botanical Garden,Maple,Acer rubrum,October Glory', , ,NA,NA,NA
23,VanDusen Botanical Garden,Maple,Acer rubrum,, , ,NA,NA,NA
24,VanDusen Botanical Garden,Maple,Acer rubrum,, , ,NA,NA,NA
25,VanDusen Botanical Garden,Maple,Acer rubrum,, , ,NA,NA,NA
26,VanDusen Botanical Garden,Maple,Acer saccharinum,, , ,NA,NA,NA
27,VanDusen Botanical Garden,Maple,Acer saccharum,, , ,NA,NA,NA
28,VanDusen Botanical Garden,Maple,Acer saccharum,Legacy', , ,NA,NA,NA
29,VanDusen Botanical Garden,Maple,Acer saccharum,, , ,NA,NA,NA
30,VanDusen Botanical Garden,Maple,Acer saccharum,,,,NA,NA,NA
31,VanDusen Botanical Garden,Maple,Acer saccharum,,,,NA,NA,NA
32,VanDusen Botanical Garden,Maple,Acer saccharum,,,,NA,NA,NA
33,VanDusen Botanical Garden,Maple,Acer saccharum,Legacy', , ,NA,NA,NA
34,VanDusen Botanical Garden,Maple,Acer saccharum,, , ,NA,NA,NA
35,VanDusen Botanical Garden,Maple,Acer saccharum,, , ,NA,NA,NA
36,VanDusen Botanical Garden,Maple,Acer saccharum, nigrum, , ,NA,NA,NA
37,VanDusen Botanical Garden,Maple,Acer saccharum,, , ,NA,NA,NA
38,VanDusen Botanical Garden,Maple,Acer saccharum,, , ,NA,NA,NA
39,VanDusen Botanical Garden,Maple,Acer saccharum,, , ,NA,NA,NA
40,VanDusen Botanical Garden,Maple,Acer saccharum,, , ,NA,NA,NA
41,VanDusen Botanical Garden,Onion,Allium cernuum,, , ,NA,NA,NA
42,VanDusen Botanical Garden,Onion,Allium cernuum,, , ,NA,NA,NA
43,VanDusen Botanical Garden,Onion,Allium cernuum,, , ,NA,NA,NA
44,VanDusen Botanical Garden,Onion,Allium cernuum,, , ,NA,NA,NA
45,VanDusen Botanical Garden,Onion,Allium cernuum,, , ,NA,NA,NA
46,VanDusen Botanical Garden,Onion,Allium cernuum,, , ,NA,NA,NA
47,VanDusen Botanical Garden,Onion,Allium cernuum,, , ,NA,NA,NA
48,VanDusen Botanical Garden,Onion,Allium cernuum,, , ,NA,NA,NA
49,VanDusen Botanical Garden,Onion,Allium schoenoprasum,, , ,NA,NA,NA
50,VanDusen Botanical Garden,Onion,Allium schoenoprasum,Forescate', , ,NA,NA,NA
51,VanDusen Botanical Garden,Onion,Allium schoenoprasum,, , ,NA,NA,NA
52,VanDusen Botanical Garden,Onion,Allium schoenoprasum,Forescate', , ,NA,NA,NA
53,VanDusen Botanical Garden,Onion,Allium stellatum,, , ,NA,NA,NA
54,VanDusen Botanical Garden,Alder,Alnus rubra,, , ,NA,NA,NA
55,VanDusen Botanical Garden,Alder,Alnus rubra,, , ,NA,NA,NA
56,VanDusen Botanical Garden,Alder,Alnus sinuata,, , ,NA,NA,NA
57,VanDusen Botanical Garden,Saskatoon,Amelanchier arborea,, , ,NA,NA,NA
58,VanDusen Botanical Garden,Saskatoon,Amelanchier canadensis,, , ,NA,NA,NA
59,VanDusen Botanical Garden,Bluestem,Andropogon gerardii,, , ,NA,NA,NA
60,VanDusen Botanical Garden,Pawpaw,Asimina triloba,, , ,NA,NA,NA
61,VanDusen Botanical Garden,Pawpaw,Asimina triloba,, , ,NA,NA,NA
62,VanDusen Botanical Garden,Birch,Betula lenta,, , ,NA,NA,NA
63,VanDusen Botanical Garden,Birch,Betula lenta,, , ,NA,NA,NA
64,VanDusen Botanical Garden,Bromegrass,Bromus vulgaris,, , ,NA,NA,NA
65,VanDusen Botanical Garden,Hickory,Carya ovata,, , ,NA,NA,NA
66,VanDusen Botanical Garden,Chestnut,Castanea dentata,, , ,NA,NA,NA
67,VanDusen Botanical Garden,Ornamental Hackberry,Celtis occidentalis,, , ,NA,NA,NA
68,VanDusen Botanical Garden,Wild Rye,Elymus canadensis,, , ,NA,NA,NA
69,VanDusen Botanical Garden,Fawn Lily,Erythronium oregonum,, , ,NA,NA,NA
70,VanDusen Botanical Garden,Fawn Lily,Erythronium oregonum,, , ,NA,NA,NA
71,VanDusen Botanical Garden,Fawn Lily,Erythronium oregonum,, , ,NA,NA,NA
72,VanDusen Botanical Garden,Fawn Lily,Erythronium oregonum,, , ,NA,NA,NA
73,VanDusen Botanical Garden,Fawn Lily,Erythronium oregonum,, , ,NA,NA,NA
74,VanDusen Botanical Garden,Fawn Lily,Erythronium oregonum,, , ,NA,NA,NA
75,VanDusen Botanical Garden,Fawn Lily,Erythronium oregonum,, , ,NA,NA,NA
76,VanDusen Botanical Garden,Fawn Lily,Erythronium oregonum,, , ,NA,NA,NA
77,VanDusen Botanical Garden,Fescue,Festuca ovina,, , ,NA,NA,NA
78,VanDusen Botanical Garden,Fescue,Festuca ovina,, , ,NA,NA,NA
79,VanDusen Botanical Garden,Strawberry,Fragaria chiloensis,, , ,NA,NA,NA
80,VanDusen Botanical Garden,Strawberry,Fragaria chiloensis,, , ,NA,NA,NA
81,VanDusen Botanical Garden,Strawberry,Fragaria chiloensis,, , ,NA,NA,NA
82,VanDusen Botanical Garden,Strawberry,Fragaria chiloensis,, , ,NA,NA,NA
83,VanDusen Botanical Garden,Strawberry,Fragaria vesca,, , ,NA,NA,NA
84,VanDusen Botanical Garden,Strawberry,Fragaria x ananassa,Sumas', , ,NA,NA,NA
85,VanDusen Botanical Garden,Ash,Fraxinus americana,, , ,NA,NA,NA
86,VanDusen Botanical Garden,Ash,Fraxinus americana,Autumn Applause', , ,NA,NA,NA
87,VanDusen Botanical Garden,Ash,Fraxinus americana,Autumn Purple', , ,NA,NA,NA
88,VanDusen Botanical Garden,Ash,Fraxinus americana,Autumn Applause', , ,NA,NA,NA
89,VanDusen Botanical Garden,Ash,Fraxinus nigra,, , ,NA,NA,NA
90,VanDusen Botanical Garden,Ash,Fraxinus nigra,Fallgold', , ,NA,NA,NA
91,VanDusen Botanical Garden,Ash,Fraxinus pennsylvanica,Patmore', , ,NA,NA,NA
92,VanDusen Botanical Garden,Ash,Fraxinus pennsylvanica,Cimmaron', , ,NA,NA,NA
93,VanDusen Botanical Garden,Ash,Fraxinus pennsylvanica,Bergeson', , ,NA,NA,NA
94,VanDusen Botanical Garden,Ash,Fraxinus pennsylvanica,Variegata', , ,NA,NA,NA
95,VanDusen Botanical Garden,Ash,Fraxinus pennsylvanica,, , ,NA,NA,NA
96,VanDusen Botanical Garden,Ash,Fraxinus quadrangulata,, , ,NA,NA,NA
97,VanDusen Botanical Garden,Blanket Flower,Gaillardia aristata,, , ,NA,NA,NA
98,VanDusen Botanical Garden,Blanket Flower,Gaillardia aristata,, , ,NA,NA,NA
99,VanDusen Botanical Garden,Witch Hazel,Hamamelis virginiana,, , ,NA,NA,NA
100,VanDusen Botanical Garden,Witch Hazel,Hamamelis virginiana,, , ,NA,NA,NA
101,VanDusen Botanical Garden,Witch Hazel,Hamamelis virginiana,, , ,NA,NA,NA
102,VanDusen Botanical Garden,Sunflower,Helianthus divaricatus,, , ,NA,NA,NA
103,VanDusen Botanical Garden,Walnut,Juglans cinerea,, , ,NA,NA,NA
104,VanDusen Botanical Garden,Larch,Larix laricina,, , ,NA,NA,NA
105,VanDusen Botanical Garden,Larch,Larix laricina,, , ,NA,NA,NA
106,VanDusen Botanical Garden,Larch,Larix laricina,Newport Dwarf #7', , ,NA,NA,NA
107,VanDusen Botanical Garden,Larch,Larix occidentalis,, , ,NA,NA,NA
108,VanDusen Botanical Garden,Wheat,Leymus cinereus,, , ,NA,NA,NA
109,VanDusen Botanical Garden,Flax,Linum perenne, alpinum, , ,NA,NA,NA
110,VanDusen Botanical Garden,Lupin,Lupinus polyphyllus,, , ,NA,NA,NA
111,VanDusen Botanical Garden,Lupin,Lupinus polyphyllus,, , ,NA,NA,NA
112,VanDusen Botanical Garden,Lupin,Lupinus polyphyllus,, , ,NA,NA,NA
113,VanDusen Botanical Garden,Magnolia,Magnolia acuminata,, , ,NA,NA,NA
114,VanDusen Botanical Garden,Mint,Mentha arvensis,, , ,NA,NA,NA
115,VanDusen Botanical Garden,Water Lily,Nymphaea tetragona,, , ,NA,NA,NA
116,VanDusen Botanical Garden,Water Lily,Nymphaea tetragona,, , ,NA,NA,NA
117,VanDusen Botanical Garden,Proso millet,Panicum clandestinum,, , ,NA,NA,NA
118,VanDusen Botanical Garden,Proso millet,Panicum virgatum,Prairie Sky', , ,NA,NA,NA
119,VanDusen Botanical Garden,Proso millet,Panicum virgatum,Shenandoah', , ,NA,NA,NA
120,VanDusen Botanical Garden,Proso millet,Panicum virgatum,Shenandoah', , ,NA,NA,NA
121,VanDusen Botanical Garden,Proso millet,Panicum virgatum,Rotstrahlbusch', , ,NA,NA,NA
122,VanDusen Botanical Garden,Proso millet,Panicum virgatum,Rotstrahlbusch', , ,NA,NA,NA
123,VanDusen Botanical Garden,Proso millet,Panicum virgatum,Rotstrahlbusch', , ,NA,NA,NA
124,VanDusen Botanical Garden,Canary Grass,Phalaris arundinacea,Feesey', , ,NA,NA,NA
125,VanDusen Botanical Garden,Spruce,Picea glauca,Cy's Wonder', , ,NA,NA,NA
126,VanDusen Botanical Garden,Spruce,Picea glauca,Echiniformis', , ,NA,NA,NA
127,VanDusen Botanical Garden,Spruce,Picea glauca,Coerulea', , ,NA,NA,NA
128,VanDusen Botanical Garden,Spruce,Picea glauca,albertiana 'Conica', , ,NA,NA,NA
129,VanDusen Botanical Garden,Spruce,Picea glauca,albertiana 'Conica', , ,NA,NA,NA
130,VanDusen Botanical Garden,Spruce,Picea glauca,albertiana 'Conica', , ,NA,NA,NA
131,VanDusen Botanical Garden,Spruce,Picea glauca,albertiana 'Conica', , ,NA,NA,NA
132,VanDusen Botanical Garden,Spruce,Picea glauca,Pixie', , ,NA,NA,NA
133,VanDusen Botanical Garden,Spruce,Picea mariana,Aurea', , ,NA,NA,NA
134,VanDusen Botanical Garden,Spruce,Picea mariana,, , ,NA,NA,NA
135,VanDusen Botanical Garden,Spruce,Picea mariana,Nana', , ,NA,NA,NA
136,VanDusen Botanical Garden,Spruce,Picea mariana,, , ,NA,NA,NA
137,VanDusen Botanical Garden,Spruce,Picea rubens,, , ,NA,NA,NA
138,VanDusen Botanical Garden,Spruce,Picea rubens,, , ,NA,NA,NA
139,VanDusen Botanical Garden,Spruce,Picea sitchensis,, , ,NA,NA,NA
140,VanDusen Botanical Garden,Spruce,Picea sitchensis,, , ,NA,NA,NA
141,VanDusen Botanical Garden,Spruce,Picea sitchensis,Tenas', , ,NA,NA,NA
142,VanDusen Botanical Garden,Spruce,Picea sitchensis,, , ,NA,NA,NA
143,VanDusen Botanical Garden,Pine,Pinus albicaulis,Algonquin Pillar', , ,NA,NA,NA
144,VanDusen Botanical Garden,Pine,Pinus banksiana,, , ,NA,NA,NA
145,VanDusen Botanical Garden,Pine,Pinus contorta,, , ,NA,NA,NA
146,VanDusen Botanical Garden,Pine,Pinus contorta,, , ,NA,NA,NA
147,VanDusen Botanical Garden,Pine,Pinus contorta,, , ,NA,NA,NA
148,VanDusen Botanical Garden,Pine,Pinus contorta,Spaan's Dwarf', , ,NA,NA,NA
149,VanDusen Botanical Garden,Pine,Pinus contorta,, , ,NA,NA,NA
150,VanDusen Botanical Garden,Pine,Pinus contorta,, , ,NA,NA,NA
151,VanDusen Botanical Garden,Pine,Pinus contorta,, , ,NA,NA,NA
152,VanDusen Botanical Garden,Pine,Pinus ponderosa,, , ,NA,NA,NA
153,VanDusen Botanical Garden,Pine,Pinus ponderosa,, , ,NA,NA,NA
154,VanDusen Botanical Garden,Pine,Pinus ponderosa,, , ,NA,NA,NA
155,VanDusen Botanical Garden,Pine,Pinus ponderosa,, , ,NA,NA,NA
156,VanDusen Botanical Garden,Pine,Pinus ponderosa,, , ,NA,NA,NA
157,VanDusen Botanical Garden,Pine,Pinus rigida,, , ,NA,NA,NA
158,VanDusen Botanical Garden,Pine,Pinus rigida,, , ,NA,NA,NA
159,VanDusen Botanical Garden,Pine,Pinus strobus,Pendula', , ,NA,NA,NA
160,VanDusen Botanical Garden,Pine,Pinus strobus,Contorta', , ,NA,NA,NA
161,VanDusen Botanical Garden,Pine,Pinus strobus,Horsford', , ,NA,NA,NA
162,VanDusen Botanical Garden,Pine,Pinus strobus,Radiata', , ,NA,NA,NA
163,VanDusen Botanical Garden,Pine,Pinus strobus,Pendula', , ,NA,NA,NA
164,VanDusen Botanical Garden,Pine,Pinus strobus,Pendula', , ,NA,NA,NA
165,VanDusen Botanical Garden,Pine,Pinus strobus,, , ,NA,NA,NA
166,VanDusen Botanical Garden,Pine,Pinus strobus,, , ,NA,NA,NA
167,VanDusen Botanical Garden,Pine,Pinus strobus,Horsford', , ,NA,NA,NA
168,VanDusen Botanical Garden,Bluegrass,Poa alpina,, , ,NA,NA,NA
169,VanDusen Botanical Garden,Poplar,Populus tremuloides,, , ,NA,NA,NA
170,VanDusen Botanical Garden,Poplar,Populus tremuloides,, , ,NA,NA,NA
171,VanDusen Botanical Garden,Poplar,Populus tremuloides,, , ,NA,NA,NA
172,VanDusen Botanical Garden,Poplar,Populus tremuloides,, , ,NA,NA,NA
173,VanDusen Botanical Garden,Poplar,Populus tremuloides,, , ,NA,NA,NA
174,VanDusen Botanical Garden,Heal All,Prunella vulgaris,, , ,NA,NA,NA
175,VanDusen Botanical Garden,Heal All,Prunella vulgaris,, , ,NA,NA,NA
176,VanDusen Botanical Garden,Cherry,Prunus besseyi,, , ,NA,NA,NA
177,VanDusen Botanical Garden,Cherry,Prunus serotina,, , ,NA,NA,NA
178,VanDusen Botanical Garden,Cherry,Prunus serotina,red-leaf selection), , ,NA,NA,NA
179,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
180,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
181,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
182,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
183,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
184,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
185,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
186,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
187,VanDusen Botanical Garden,Douglas fir,Pseudotsuga menziesii,, , ,NA,NA,NA
