Group,Crop,sci_name,IUCN_status
Cereals,Amaranth,Amaranthus albus,NA
Cereals,Amaranth,Amaranthus californicus,NA
Cereals,Amaranth,Amaranthus graecizans,NA
Cereals,Amaranth,Amaranthus hybridus,NA
Cereals,Amaranth,Amaranthus retroflexus,NA
Cereals,Amaranth,Amaranthus tuberculatus,LC
Cereals,Barley,Hordeum brachyantherum,LC
Cereals,Barley,Hordeum depressum,LC
Cereals,Barley,Hordeum jubatum,LC
Cereals,Barley,Hordeum pusillum,LC
Cereals,Barley,Leymus mollis,NA
Cereals,Proso millet,Panicum bicknellii,NA
Cereals,Proso millet,Panicum boreale,NA
Cereals,Proso millet,Panicum capillare,NA
Cereals,Proso millet,Panicum clandestinum,NA
Cereals,Proso millet,Panicum colombianum,NA
Cereals,Proso millet,Panicum depauperatum,NA
Cereals,Proso millet,Panicum dichotomiflorum,NA
Cereals,Proso millet,Panicum dichotomum,NA
Cereals,Proso millet,Panicum flexile,NA
Cereals,Proso millet,Panicum lanuginosum,NA
Cereals,Proso millet,Panicum leibergii,NA
Cereals,Proso millet,Panicum linearifolium,NA
Cereals,Proso millet,Panicum longifolium,NA
Cereals,Proso millet,Panicum macrocarpon,NA
Cereals,Proso millet,Panicum meridionale,NA
Cereals,Proso millet,Panicum occidentale,NA
Cereals,Proso millet,Panicum oligosanther,NA
Cereals,Proso millet,Panicum pacificum,NA
Cereals,Proso millet,Panicum perlongum,NA
Cereals,Proso millet,Panicum philadelphicum,NA
Cereals,Proso millet,Panicum praecocius,NA
Cereals,Proso millet,Panicum rigidulum,LC
Cereals,Proso millet,Panicum sphaerocarpon,NA
Cereals,Proso millet,Panicum sprentum,NA
Cereals,Proso millet,Panicum subvillosum,NA
Cereals,Proso millet,Panicum thermale,NA
Cereals,Proso millet,Panicum villosissimum,NA
Cereals,Proso millet,Panicum virgatum,NA
Cereals,Proso millet,Panicum wilcoxianum,NA
Cereals,Proso millet,Panicum xanthophysum,NA
Cereals,Quinoa,Chenopodium berlandieri,NA
Cereals,Quinoa,Chenopodium capitatum,NA
Cereals,Quinoa,Chenopodium desiccatum,NA
Cereals,Quinoa,Chenopodium fremontii,NA
Cereals,Quinoa,Chenopodium hians,NA
Cereals,Quinoa,Chenopodium hybridum,NA
Cereals,Quinoa,Chenopodium leptophyllum,NA
Cereals,Quinoa,Chenopodium rubrum,LC
Cereals,Quinoa,Chenopodium standleyanum,NA
Cereals,Quinoa,Chenopodium watsonii,NA
Cereals,Wheat,Elymus alaskanus,LC
Cereals,Wheat,Elymus albicans,NA
Cereals,Wheat,Elymus curvatus,NA
Cereals,Wheat,Elymus elymoides,NA
Cereals,Wheat,Elymus lanceolatus,NA
Cereals,Wheat,Elymus macrourus,DD
Cereals,Wheat,Elymus scribneri,NA
Cereals,Wheat,Elymus trachycaulus,NA
Cereals,Wheat,Elymus violaceus,LC
Cereals,Wheat,Elymus wiegandii,NA
Cereals,Wheat,Leymus cinereus,NA
Cereals,Wheat,Leymus innovatus,NA
Cereals,Wheat,Leymus triticoides,NA
Cereals,Wild Rice,Zizania aquatica,LC
Cereals,Wild Rice,Zizania palustris,LC
Cereals,Wild Rye,Elymus canadensis,NA
Cereals,Wild Rye,Elymus diversiglumis,NA
Cereals,Wild Rye,Elymus glaucus,NA
Cereals,Wild Rye,Elymus hirsutus,NA
Cereals,Wild Rye,Elymus hystrix,NA
Cereals,Wild Rye,Elymus innovatus,NA
Cereals,Wild Rye,Elymus mollis,NA
Cereals,Wild Rye,Elymus piperi,NA
Cereals,Wild Rye,Elymus riparius,NA
Cereals,Wild Rye,Elymus sibiricus,NA - on site
Cereals,Wild Rye,Elymus villosus,NA
Cereals,Wild Rye,Elymus virginicus,NA
Fruits/Berries,Apple,Malus coronaria,LC
Fruits/Berries,Apple,Malus fusca,LC
Fruits/Berries,Blueberry/Bilberry,Vaccinium alaskaense,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium angustifolium,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium atrococcum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium boreale,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium cespitosum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium corymbosum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium deliciosum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium fuscatum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium membranaceum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium myrtilloides,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium myrtillus,LC
Fruits/Berries,Blueberry/Bilberry,Vaccinium nubigeum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium ovalifolium,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium ovatum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium pallidum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium parvifolium,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium scoparium,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium stamineum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium uliginosum,NA
Fruits/Berries,Blueberry/Bilberry,Vaccinium vacillans,NA
Fruits/Berries,Buffaloberry,Sherpherdia argetea,NA
Fruits/Berries,Buffaloberry,Sherpherdia canadensis,NA
Fruits/Berries,Cherry/Plum/Apricot,Prunus americana,LC
Fruits/Berries,Cherry/Plum/Apricot,Prunus besseyi,LC
Fruits/Berries,Cherry/Plum/Apricot,Prunus emarginata,LC
Fruits/Berries,Cherry/Plum/Apricot,Prunus maritima,DD
Fruits/Berries,Cherry/Plum/Apricot,Prunus nigra,LC
Fruits/Berries,Cherry/Plum/Apricot,Prunus pensylvanica,LC
Fruits/Berries,Cherry/Plum/Apricot,Prunus pumila,LC
Fruits/Berries,Cherry/Plum/Apricot,Prunus serotina,LC
Fruits/Berries,Cherry/Plum/Apricot,Prunus virginiana,LC
Fruits/Berries,Cranberry,Vaccinium macrocarpus,LC
Fruits/Berries,Cranberry,Vaccinium microcarpus,NA
Fruits/Berries,Cranberry,Vaccinium ovalifolius,NA
Fruits/Berries,Cranberry,Vaccinium quadripetalus,NA
Fruits/Berries,Currant/Gooseberry,Ribes americanum,NA
Fruits/Berries,Currant/Gooseberry,Ribes aureum,NA
Fruits/Berries,Currant/Gooseberry,Ribes bracteosum,NA
Fruits/Berries,Currant/Gooseberry,Ribes cereum,NA
Fruits/Berries,Currant/Gooseberry,Ribes cynosbati,NA
Fruits/Berries,Currant/Gooseberry,Ribes divaricatum,NA
Fruits/Berries,Currant/Gooseberry,Ribes glandulosum,LC
Fruits/Berries,Currant/Gooseberry,Ribes hirtellum,NA
Fruits/Berries,Currant/Gooseberry,Ribes howellii,NA
Fruits/Berries,Currant/Gooseberry,Ribes hudsonianum,NA
Fruits/Berries,Currant/Gooseberry,Ribes inerme,NA
Fruits/Berries,Currant/Gooseberry,Ribes irriguum,NA
Fruits/Berries,Currant/Gooseberry,Ribes lacustre,NA
Fruits/Berries,Currant/Gooseberry,Ribes laxiflorum,NA
Fruits/Berries,Currant/Gooseberry,Ribes lobbii,NA
Fruits/Berries,Currant/Gooseberry,Ribes oxyacanthoides,NA
Fruits/Berries,Currant/Gooseberry,Ribes sanguineum,NA
Fruits/Berries,Currant/Gooseberry,Ribes setosum,NA
Fruits/Berries,Currant/Gooseberry,Ribes triste,NA
Fruits/Berries,Currant/Gooseberry,Ribes viscosissiumum,NA
Fruits/Berries,Currant/Gooseberry,Ribes watsonianum,NA
Fruits/Berries,Elderberry,Sambucus canadensis,NA
Fruits/Berries,Elderberry,Sambucus cerulea,NA
Fruits/Berries,Elderberry,Sambucus racemosa,LC
Fruits/Berries,Grape,Vitis aestivalis,NA
Fruits/Berries,Grape,Vitis riparia,NA
Fruits/Berries,Highbush Cranberry,Viburnum acerifolium,NA
Fruits/Berries,Highbush Cranberry,Viburnum alnifolium,NA
Fruits/Berries,Highbush Cranberry,Viburnum cassinoides,NA
Fruits/Berries,Highbush Cranberry,Viburnum dentatum,NA
Fruits/Berries,Highbush Cranberry,Viburnum edule,NA
Fruits/Berries,Highbush Cranberry,Viburnum lantana,NA
Fruits/Berries,Highbush Cranberry,Viburnum lentago,LC
Fruits/Berries,Highbush Cranberry,Viburnum rafinesquianum,NA
Fruits/Berries,Highbush Cranberry,Viburnum trilobum,NA
Fruits/Berries,Lingonberry,Vaccinium vitis-idaea,NA
Fruits/Berries,Mulberry,Morus rubra,LC
Fruits/Berries,Pawpaw,Asimina triloba,LC
Fruits/Berries,Raspberry/Blackberry,Rubus acualis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus allegheniensis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus arcticus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus canadensis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus chamaemorus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus enslenii,NA
Fruits/Berries,Raspberry/Blackberry,Rubus flagellaris,NA
Fruits/Berries,Raspberry/Blackberry,Rubus frondosus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus glagellaris,NA
Fruits/Berries,Raspberry/Blackberry,Rubus hispidus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus idaeus,LC
Fruits/Berries,Raspberry/Blackberry,Rubus laciniatus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus lasiococcus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus leucodermis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus nivalis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus nutkanus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus occidentalis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus odoratus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus paracaulis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus parviflorus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus pedatus,LC
Fruits/Berries,Raspberry/Blackberry,Rubus pensilvanicus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus procerus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus pubescens,LC
Fruits/Berries,Raspberry/Blackberry,Rubus recurvicaulis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus spectabilis,NA
Fruits/Berries,Raspberry/Blackberry,Rubus stellatus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus ursinus,NA
Fruits/Berries,Raspberry/Blackberry,Rubus vermontanus,NA
Fruits/Berries,Saskatoon,Amelanchier alnifolia,LC
Fruits/Berries,Saskatoon,Amelanchier arborea,LC
Fruits/Berries,Saskatoon,Amelanchier bartramiana,LC
Fruits/Berries,Saskatoon,Amelanchier canadensis,LC
Fruits/Berries,Saskatoon,Amelanchier fernaldii,NA
Fruits/Berries,Saskatoon,Amelanchier gaspensis,NA
Fruits/Berries,Saskatoon,Amelanchier humilis,NA
Fruits/Berries,Saskatoon,Amelanchier huronensis,NA
Fruits/Berries,Saskatoon,Amelanchier intermedia,NA
Fruits/Berries,Saskatoon,Amelanchier laevis,LC
Fruits/Berries,Saskatoon,Amelanchier lucida,NA
Fruits/Berries,Saskatoon,Amelanchier mucronata,NA
Fruits/Berries,Saskatoon,Amelanchier sanguinea,LC
Fruits/Berries,Saskatoon,Amelanchier stolonifera,NA
Fruits/Berries,Saskatoon,Amelanchier wiegandii,NA
Fruits/Berries,Strawberry,Comarum palustre,LC
Fruits/Berries,Strawberry,Dasiphora fruticosa,NA
Fruits/Berries,Strawberry,Drymocallis glandulosa,NA
Fruits/Berries,Strawberry,Fragaria chiloensis,NA
Fruits/Berries,Strawberry,Fragaria vesca,NA
Fruits/Berries,Strawberry,Fragaria virginiana,NA
Fruits/Berries,Strawberry,Fragaria x ananassa,NA
