"","Group","Crop","sci_name"
"1","Cereals","Barley","Hordeum depressum"
"2","Cereals","Barley","Hordeum pusillum"
"3","Cereals","Proso millet","Panicum colombianum"
"4","Cereals","Proso millet","Panicum lanuginosum"
"5","Cereals","Proso millet","Panicum longifolium"
"6","Cereals","Proso millet","Panicum macrocarpon"
"7","Cereals","Proso millet","Panicum meridionale"
"8","Cereals","Proso millet","Panicum occidentale"
"9","Cereals","Proso millet","Panicum oligosanther"
"10","Cereals","Proso millet","Panicum pacificum"
"11","Cereals","Proso millet","Panicum perlongum"
"12","Cereals","Proso millet","Panicum praecocius"
"13","Cereals","Proso millet","Panicum rigidulum"
"14","Cereals","Proso millet","Panicum sprentum"
"15","Cereals","Proso millet","Panicum subvillosum"
"16","Cereals","Proso millet","Panicum thermale"
"17","Cereals","Proso millet","Panicum villosissimum"
"18","Cereals","Quinoa","Chenopodium hybridum"
"19","Cereals","Quinoa","Chenopodium rubrum"
"20","Cereals","Quinoa","Chenopodium standleyanum"
"21","Cereals","Wheat","Elymus trachycaulus"
"22","Cereals","Wheat","Elymus wiegandii"
"23","Cereals","Wild Rye","Elymus innovatus"
"24","Cereals","Wild Rye","Elymus mollis"
"25","Cereals","Wild Rye","Elymus piperi"
"26","Fruits/Berries","Blueberry/Bilberry","Vaccinium atrococcum"
"27","Fruits/Berries","Blueberry/Bilberry","Vaccinium caespitosum"
"28","Fruits/Berries","Blueberry/Bilberry","Vaccinium fuscatum"
"29","Fruits/Berries","Blueberry/Bilberry","Vaccinium nubigeum"
"30","Fruits/Berries","Blueberry/Bilberry","Vaccinium vacillans"
"31","Fruits/Berries","Buffaloberry","Sherpherdia argetea"
"32","Fruits/Berries","Buffaloberry","Sherpherdia canadensis"
"33","Fruits/Berries","Cherry/Plum/Apricot","Prunus besseyi"
"34","Fruits/Berries","Cherry/Plum/Apricot","Prunus maritima"
"35","Fruits/Berries","Cranberry","Vaccinium macrocarpus"
"36","Fruits/Berries","Cranberry","Vaccinium microcarpus"
"37","Fruits/Berries","Cranberry","Vaccinium ovalifolius"
"38","Fruits/Berries","Cranberry","Vaccinium quadripetalus"
"39","Fruits/Berries","Currant/Gooseberry","Ribes howellii"
