"","species","ECO_NAME","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","province","geometry","Group","crop"
"1","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",2,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"2","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",3,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"3","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",4,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"4","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",5,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"5","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",6,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"6","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",7,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"7","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",8,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"8","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",9,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"9","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",10,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"10","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",11,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"11","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",12,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"12","Abies amabilis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",15,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","British Columbia",c(-121.863333, 49.203055),"Trees","Fir"
"13","Abies amabilis","Pacific Northwest Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"14","Abies amabilis","S.E. Alaska - B.C. Coastal Forest And Mountains",1,"UBC","",55.1,-127.4,"Canada","Least concern","NA0518","British Columbia",c(-127.4, 55.1),"Trees","Fir"
"15","Abies amabilis","Okanagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"16","Abies amabilis","North Cascades",14,"UBC","",49.48356,-123.56923,"Canada","Least concern","NA0514","British Columbia",c(-123.56923, 49.48356),"Trees","Fir"
"17","Abies grandis","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"18","Abies grandis","Canadian Rocky Mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"19","Abies grandis","Okanagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"20","Abies lasiocarpa","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"21","Abies lasiocarpa","Canadian Rocky Mountains",31,"UBC","",49.666667,-115.433333,"Canada","Least concern","NA0504","British Columbia",c(-115.433333, 49.666667),"Trees","Fir"
"22","Abies lasiocarpa","Canadian Rocky Mountains",33,"UBC","",49.666667,-115.433333,"Canada","Least concern","NA0504","British Columbia",c(-115.433333, 49.666667),"Trees","Fir"
"23","Abies lasiocarpa","Canadian Rocky Mountains",35,"UBC","",49.666667,-115.433333,"Canada","Least concern","NA0504","British Columbia",c(-115.433333, 49.666667),"Trees","Fir"
"24","Abies lasiocarpa","Boreal Cordillera",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"25","Abies lasiocarpa","Montane Cordillera",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"26","Abies lasiocarpa","S.E. Alaska - B.C. Coastal Forest And Mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"27","Abies lasiocarpa","Pacific Northwest Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"28","Abies lasiocarpa","Okanagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
"29","Abies lasiocarpa","North Cascades",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Fir"
